Date,Open,High,Low,Close,Volume,Market Cap
Mar-02-2021,49589.98382,50179.37278,47150.26016,48245.59608,1.11602E+11,9.05796E+11
Mar-01-2021,45109.07003,49752.65017,45015.58423,49557.93686,1.12766E+11,8.8658E+11
Feb-28-2021,46132.38706,46540.99196,43164.54281,44986.74483,94856286510,8.34743E+11
Feb-27-2021,46266.02663,48346.55295,45136.06253,46202.31375,1.19957E+11,8.78311E+11
Feb-26-2021,46986.59753,48380.67122,44499.99779,46205.25772,1.36769E+11,8.68708E+11
Feb-25-2021,49668.13321,51791.92133,47264.2166,47372.37799,1.24603E+11,9.31553E+11
Feb-24-2021,48889.93049,51223.54034,47169.0711,49577.66705,1.74558E+11,9.27168E+11
Feb-23-2021,54099.98066,54099.98066,45256.17983,48514.38215,2.12152E+11,9.13257E+11
Feb-22-2021,57411.01182,57411.01182,49410.20163,54153.65519,1.49261E+11,1.01931E+12
Feb-21-2021,55969.53062,58301.83149,55560.54183,57367.94614,1.39772E+11,1.06217E+12
Feb-20-2021,55841.11051,57530.02169,54753.83424,56008.78744,1.40454E+11,1.04791E+12
Feb-19-2021,51564.7174,56229.12061,50856.48518,55795.15505,1.13055E+11,9.89022E+11
Feb-18-2021,52091.92583,52493.72668,50920.66693,51656.84687,1.20111E+11,9.66868E+11
Feb-17-2021,49128.60789,52514.9566,49088.69797,52127.62093,1.42715E+11,9.48273E+11
Feb-16-2021,47927.98726,50344.0175,47187.62454,49261.05077,1.28596E+11,9.09963E+11
Feb-15-2021,48643.60341,48884.83731,46167.9802,47981.97749,1.21934E+11,8.90979E+11
Feb-14-2021,47123.82071,49566.06073,47123.82071,48673.32971,1.44739E+11,9.04294E+11
Feb-13-2021,47299.70322,48089.52149,46402.36769,47056.76956,1.4304E+11,8.79476E+11
Feb-12-2021,47991.93716,48654.38443,46459.80561,47622.56892,1.37347E+11,8.8566E+11
Feb-11-2021,44809.54216,48523.09966,44049.82299,47680.42444,1.25776E+11,8.6097E+11
Feb-10-2021,46504.7999,47281.52642,43864.28056,44866.50228,1.29491E+11,8.52081E+11
Feb-09-2021,46533.33694,47893.55162,45164.66799,46511.52058,1.83198E+11,8.68141E+11
Feb-08-2021,38857.11695,46225.49641,38044.11047,46225.49641,1.18717E+11,7.66031E+11
Feb-07-2021,39260.74066,39654.67037,37389.63496,38888.63824,1.02991E+11,7.20053E+11
Feb-06-2021,38300.04419,40858.55162,38288.98665,39191.50755,1.06252E+11,7.42154E+11
Feb-05-2021,36977.78267,38280.06292,36634.28566,37945.96447,1.00183E+11,6.99542E+11
Feb-04-2021,37659.04057,38734.57556,36321.73443,36938.03487,95050564959,6.98357E+11
Feb-03-2021,35476.14181,37565.35781,35476.14181,37551.93435,89352747406,6.80092E+11
Feb-02-2021,33536.47807,35943.3423,33536.47807,35507.12771,86758683274,6.45559E+11
